丙肝治疗反应,1.22,http://www.juzisw.com/u/jay/521.html,"丙肝治疗反应丙型病毒性肝炎是由丙型肝炎病毒(hepatitisC virus,HCV，简称丙肝)引起的一种传染病。目前治疗丙型肝炎的标准方案聚乙二醇干扰素联合利巴韦林(PEG-IFN/RBV)并不能使所有患者获得持续病毒学应答(sustained virologicalresponse,SVR),并且成本较高,有不少病人不能耐受其副作用。有研究发现IL-28B基因多态性与丙型肝炎治疗应答密切相关。其中研究较多且关联性较强的单核苷酸多态性SNP位点是rsl2979860和rs8099917。有实验已经证明IFN-λs在体内体外均能发挥抗病毒的作用，虽然rs8099917基因多态性在抗HCV感染中的具体机制还不明确,但我们仍能发现rs8099917 G等位基因与IFN-X的低表达相关。另外，实验发现rs8099917基因多态性与中国慢性丙型肝炎感染的易感性相关,G等位基因可能增加HCV持续感染的风险。这些发现可能有助于预测HCV感染的风险,使部分易感人群在一定程度上加强对HCV的预防。"
酒精性脸红,1.1,http://www.juzisw.com/u/jay/409.html,酒精性脸红是饮酒后出现的脸红现象。半数亚洲人在饮酒后会出现这种亚洲红脸，在其他种族里却很少见到，这是基因在作怪，亚洲人乙几醛脱氢酶基因出现变异，导致体内不足，欧美人士却极少出现。ALDH2位于线粒体内，其基因位于12号染色体。ALDH2基因的变异对乙醛的催化活性的影响是影响饮酒人群肿瘤发生的重要因素，其中以其 rs671 位点的多态性最为显著。
强直性脊柱炎,2.1,http://www.juzisw.com/u/jay/411.html,强直性脊柱炎 (AS)强直性脊柱炎是以骶髂关节和脊柱附着点炎症为主要症状的疾病。某些微生物（如克雷白杆菌）与易感者自身组织具有共同抗原，可引发异常免疫应答。是四肢大关节以及椎间盘纤维环及其附近结缔组织纤维化和骨化，以及关节强直为病变特点的慢性炎性疾病。强直性脊柱炎属风湿病范畴，是血清阴性脊柱关节病的一种。该病病因尚不明确，是以脊柱为主要病变部位的慢性病，累及骶髂关节，引起脊柱强直和纤维化，造成不同程度眼、肺、肌肉和骨骼病变，属自身免疫性疾病。1.1 初期症状对于16～25岁青年，尤其是青年男性。强直性脊柱炎一般起病比较隐匿，早期可无任何临床症状，有些病人在早期可表现出轻度的全身症状，如乏力、消瘦、长期或间断低热、厌食、轻度贫血等。由于病情较轻，病人大多不能早期发现，致使病情延误，失去最佳治疗时机。1.2 关节病变表现强直性脊柱炎患者多有关节病变，且绝大多数首先侵犯骶髂关节，以后上行发展至颈椎。少数病人先由颈椎或几个脊柱段同时受侵犯，也可侵犯周围关节，早期病变处关节有炎性疼痛，伴有关节周围肌肉痉挛，有僵硬感，晨起明显。也可表现为夜间疼，经活动或服止痛剂缓解。随着病情发展，关节疼痛减轻，而各脊柱段及关节活动受限和畸形，晚期整个脊柱和下肢变成僵硬的弓形，向前屈曲。1.2.1 骶髂关节炎约90%患者最先表现为骶髂关节炎。以后上行发展至颈椎，表现为反复发作的腰痛，腰骶部僵硬感，间歇性或两侧交替出现腰痛和两侧臀部疼痛，可放射至大腿，无阳性体征，伸直抬腿试验阴性。但直接按压或伸展骶髂关节可引起疼痛。有些病人无骶髂关节炎症状，仅X线检查发现有异常改变。约3%强直性脊柱炎患者颈椎最早受累，以后下行发展至腰骶部，7%强直性脊柱炎患者几乎脊柱全段同时受累。1.2.2 腰椎病变腰椎受累时，多数表现为下背部和腰部活动受限。腰部前屈、背伸、侧弯和转动均可受限。体检可发现腰椎脊突压痛，腰椎旁肌肉痉挛；后期可有腰肌萎缩。1.2.3 胸椎病变胸椎受累时，表现为背痛、前胸和侧胸痛，最常见为驼背畸形。如肋椎关节、胸骨柄体关节、胸锁关节及肋软骨间关节受累时，则呈束带状胸痛，胸廓扩张受限，吸气咳嗽或打喷嚏时胸痛加重。严重者胸廓保持在呼气状态，胸廓扩张度较正常人降低50%以上，因此只能靠腹式呼吸辅助。由于胸腹腔容量缩小，造成心肺功能和消化功能障碍。1.2.4 颈椎病变少数病人首先表现为颈椎炎，先有颈椎部疼痛，沿颈部向头部臂部放射。颈部肌肉开始时痉挛，以后萎缩，病变进展可发展至颈胸椎后凸畸形。头部活动明显受限，常固定于前屈位，不能上仰、侧弯或转动。严重者仅能看到自己足尖前方的小块地面，不能抬头平视。1.2.5 周围关节病变约半数强直性脊柱炎病人有短暂的急性周围关节炎，约25%有永久性周围关节损害。一般多发生于大关节，下肢多于上肢。肩关节受累时，关节活动受限，疼痛更为明显，梳头、抬手等活动均受限。侵犯膝关节时则关节呈代偿性弯曲，使行走、坐立等日常生活更为困难。极少侵犯肘、腕和足部关节。此外，耻骨联合亦可受累，骨盆上缘、坐骨结节、股骨大粗隆及足跟部可有骨炎症状，早期表现为局部软组织肿、痛，晚期有骨性粗大。一般周围关节炎可发生在脊柱炎之前或以后，局部症状与类风湿关节炎不易区别，但遗留畸形者较少。1.3 关节外表现强直性脊柱炎患者的关节外病变，大多出现在脊柱炎后，偶有骨骼肌肉症状之前数月或数年发生关节外症状。强直性脊柱炎可侵犯全身多个系统，并伴发多种疾病。1.3.1 心脏病变以主动脉瓣病变较为常见。临床有不同程度主动脉瓣关闭不全者约1%；约8%发生心脏传导阻滞，可与主动脉瓣关闭不全同时存在或单独发生，严重者因完全性房室传导阻滞而发生阿—斯综合征。当病变累及冠状动脉口时，可发生心绞痛。少数发生主动脉肌瘤、心包炎和心肌炎。1.3.2 眼部病变长期随访，25%强直性脊柱炎病人有结膜炎、虹膜炎、眼色素层炎或葡萄膜炎，后者偶可并发自发性眼前房出血。虹膜炎易复发，病情越长发生率愈高，但与脊柱炎的严重程度无关，有周围关节病者常见，少数可先于脊柱炎发生。眼部疾病常为自限性，有时需用皮质激素治疗，有的未经恰当治疗可致青光眼或失明。1.3.3 耳部病变在发生慢性中耳炎的强直性脊柱炎患者中，其关节外表现明显多于无慢性中耳炎的AS病人。1.3.4 肺部病变强直性脊柱炎患者后期可并发上肺叶斑点状不规则的纤维化病变，表现为咳痰、气喘，甚至咯血，并可能伴有反复发作的肺炎或胸膜炎。1.3.5 神经系统病变由于脊柱强直及骨质疏松，易使颈椎脱位和发生脊柱骨折，从而引起脊髓压迫症。如发生椎间盘炎则引起剧烈疼痛。强直性脊柱炎后期可侵犯马尾，发生马尾综合征，而导致下肢或臀部神经根性疼痛，骶神经分布区感觉丧失，跟腱反射减弱及膀胱和直肠等运动功能障碍。患病率每十万人发病率：500/10万人强直性脊柱炎发病率高，正常人群发病率在500/10万人左右，发病隐匿，病程长。主要侵犯青壮年，致残率高，漏诊、误诊率高，晚期病情不可逆转，无特异性治疗手段。
特应性皮炎,2.2,http://www.juzisw.com/u/jay/412.html,"特应性皮炎 (Atopic Dermatitis)特应性皮炎是一种慢性瘙痒性、炎症性皮肤病。大约70%的患者在出生后5年内发病,另外约有10% 的住院患者为成人期发病。除了常见的皮肤表现外,约30%的患者伴发哮喘,另有约35%的患者伴发过敏性鼻炎。特应性皮炎的临床表现多种多样，最基本的特征是皮肤干燥、慢性湿疹样皮炎和剧烈瘙痒。本病绝大多数初发于婴幼儿期，部分可发生于儿童和成人期。根据不同年龄段的表现，分为婴儿期、儿童期和青年与成人期三个阶段。婴儿期（出生至 2 岁）：表现为婴儿湿疹，多分布于两面颊、额部和头皮， 皮疹可干燥或渗出。儿童期（2 ~ 12岁）：多由婴儿期演变而来，也可不经过婴儿期而发生。多发生于肘窝、胭窝和小腿伸侧，以亚急性和慢性皮炎为主要表现，皮疹往往干燥肥厚，有明显苔藓样变。青年与成人期（12岁以上）：皮损与儿童期类似，也以亚急性和慢性皮炎为主，主要发生在肘窝、胭窝、颈前等部位，也可发生于躯干、四肢、面部、手背，大部分呈干燥、肥厚性皮炎损害，部分患者也可表现为痒疹样皮疹。特应性皮炎患者有一些有助于疾病诊断的特征性表现，包括皮肤干燥、鱼鳞病、毛周角化、掌纹症、眼睑湿疹、手部湿疹、乳头湿疹、盘状湿疹、汗疱疹、唇炎、复发性结膜炎、眶下褶痕、眶周黑晕、苍白脸、颈前皱褶、鼻下和耳根皱褶处湿疹、皮肤白色划痕症、出汗时瘙痒、对羊毛敏感等。此外，部分患者还同时有其他特应性疾病，如过敏性哮喘、过敏性鼻炎，部分患者有明显的异种蛋白过敏，如对部分食物蛋白（肉、蛋、奶、坚果等）或吸入物（粉尘螨、屋尘螨等）过敏。这些特征对特应性疾病的诊断都有重要价值。患病率在发达国家本病儿童中患病率可高达10%~20%。在我国，20年来特应性皮炎的患病率也在逐步上升，1998 年学龄期青少年（6~20岁）的总患病率为0.70%，2002 年 10 城市学龄前儿童（1~7岁）的患病率为 2.78%，而 2012 年上海地区流行病学调查显示，3~6岁儿童患病率达8.3%（男8.5%，女8.2%），城市显著高于农村（10.2%比4.6%） 。致病原因特应性皮炎的致病原因主要有遗传因素、免疫因素、微生物、环境因素、变态反应及其他因素。1.遗传因素特应性皮炎的发病具有遗传性已经被流行病学者研究得证。患特应性皮炎的女性和正常男性所生子女在3个月前发病率可高达25%，2岁前发病率更可达50%; 如果子女的父母都有该病，其发病率可达 79%。2.免疫因素目前多认为免疫异常,特别是Thl/Th2失衡是特应性皮炎的发病原因之一。患者皮损渗出物中众多CD4淋巴细胞被发现，而CD4淋巴细胞分化为Thl及Th2淋巴细胞，且转化成较多的Th2淋巴细胞，因此得到Th2淋巴细胞是首要的免疫病理学异常的结论。3微生物特应性皮炎患者对细菌、真菌、病毒的感染率比正常人更高,是因为固有与获得性免疫上都存在不足。此外，患者会有更多皮肤感染的另一个原因是Thl淋巴细胞活性不高及皮肤功能不佳。4.环境因素环境因素在特应性皮炎的发病过程中也起着重要的作用。特应性皮炎患者的皮肤屏障容易受损, 现在通过培养具有特应性皮炎皮肤特点的动物模型,证明了气候同环境干燥可以影响特应性皮炎的发病在临床上，患者症状冬重夏轻也可证明特应性皮炎的发病受环境因素影响。5.变态反应各种变态反应原进攻人体,造成人体 致敏,引起皮肤过敏性炎症反应,导致特应性皮炎发病。国内的一项研究表明在幼儿期接触宠物后发生特应性皮炎的危险性是不接触宠物的 3~6倍。"
慢性淋巴细胞白血病,2.3,http://www.juzisw.com/u/jay/413.html,"慢性淋巴细胞白血病 (CLL)慢性淋巴细胞白血病（ CLL ），是一种B淋巴细胞克隆性增殖的肿瘤性疾病,其特点为成熟形态的淋巴细胞在体内积聚,使血液和骨髓中淋巴细胞增多,进而引起淋巴结、肝、脾肿大,并可累及其他组织器官。早期常无症状，常因发现无痛性淋巴结肿大或不明原因的淋巴细胞绝对值升高而就诊。患者有轻度乏力、易疲劳等非特异性表现，一旦进入进展期，除全身淋巴结和脾脏肿大外可表现为体重减轻、反复感染、出血和贫血症状。由于易感人群的年龄较大，患者常由于慢性肺部疾病、脑血管病变、心血管疾病等其他潜在的慢性疾病而导致病情恶化。1.淋巴结肿大80%的患者有无痛性淋巴结肿大，可为全身性，轻至中度肿大，偶有明显肿大，与皮肤不粘连，常累及颈部、锁骨上、腋下及腹股沟等处。2.肝脾大半数患者有轻至中度脾脏肿大，伴腹部饱胀感，晚期可达盆腔，可发生脾梗死或脾破裂，肝大少见。3.贫血和出血病情进展时可出现贫血或血小板减少，多数情况下是由于白细胞细胞骨髓浸润或产生自身抗体所致，偶见因脾大引起脾亢。4.结外浸润淋巴细胞可浸润至皮肤、结膜、肺、胸膜、胃肠道、骨骼、神经系统、肾脏等。5.并发症免疫缺陷及免疫紊乱表现，如条件致病性病原体感染、自身免疫性疾病和继发肿瘤。患病率慢性淋巴细胞白血病发病率在西欧及美国高，占当地白血病总数的30%，发病率为2.7/10万；亚洲地区甚为少见，中国慢性淋巴细胞性白血病的发病率约占白血病总数的2%。致病原因研究发现该病密与下列因素密切相关：1.遗传因素有慢性淋巴细胞白血病或其他淋巴系统恶性疾病家族史者，直系亲属发病率较一般人群高3倍。患者的亲属自身免疫病的发生率也明显增加。2.染色体异常约50%的患者具有染色体异常，常累及12或4号染色体。染色体异常与病程有关，疾病早期染色体异常占20%左右，晚期病例可达70%。慢性淋巴细胞白血病受累的染色体常涉及免疫球蛋白编码基因或癌基因。"
掌腱膜挛缩症,2.4,http://www.juzisw.com/u/jay/414.html,"掌腱膜挛缩症 (Dupuytren Disease)掌腱膜挛缩症是掌腱膜及手指筋膜因增生性纤维变性形成许多结节和条索状结构,从而导致以手指关节继发性屈曲挛缩为特征的一种进行性疾病。掌腱膜挛缩症发病一般都较缓慢，可数年或十多年之久，但也可以在几个月内进展较快；有时病变停止后又再进展，多数病人无任何不适，发现手指屈曲挛缩，伸不直方才就诊。早期在环指或小指的轴线相连处的皮下脂肪垫区内有小结节出现，这些结节逐渐形成纵行索条样肿块而挛缩，或者使邻近的皮肤变厚，在远侧掌横纹处出现皮肤皱起的横褶。皮肤的深层与其下的腱膜组织连成一片，边界不清楚的硬团块，无明显压痛，继发掌指关节及近侧指间关节挛缩。患病率掌腱膜挛缩症的发病年龄大多在40~60岁，平均40岁左右，为一老年人群好发的疾病。有学者调查挪威人的掌腱膜挛缩症发病率，发现16岁以上人群的发病率为5.6%，而在 60岁以上人群中发病率超过20%。有学者统计了欧洲一组资料，在60岁以上人群中发病率高达25%。致病原因掌腱膜挛缩征的病因至今不明。 可能与下述因素有关：1.先天性 Krogius(1920年)认为从胚胎时，即留存下来一些横纹肌细胞于手掌中。但长期以来未能为多数学者所接受。2.损伤 因长期用手握持劳动工具，使手掌局部受到不断的挤压，形成慢性创伤，使掌腱膜及其邻近组织，因损伤引起纤维结缔组织增生而导致挛缩。但许多报告，对手工劳动者的发病率进行调查统计，并未发现手工劳动，比非手工劳动的发病率明显增多。而且左右手不论是否""利手""，发病率相近。3.炎症 掌腱膜挛缩症的结节病灶，临床表现在早期有红、热及压痛，有时局部有关的淋巴结肿大及疼痛。因此有人以为是炎症。但上述病理改变，亦可在纤维结缔组织增生中所见。4.体质 据统计，患全身性疾病的病人同时有掌腱膜挛缩症的发病率较高。例如糖尿病、癫痫、慢性酒精中毒症、肺结核、老年人的心肌梗塞、类风湿等。尤其癫痫病人比一般人的发病率多15倍，有人提出是否与长期服用巴比妥类药物有关。5.遗传与种族 在某些种族中，掌腱膜挛缩症的发病率较高。这可以说明和遗传因素有密切的关系，北欧国家发病率高，而在亚洲人中间，发病率就很低。6.神经性 掌腱膜挛缩症常以侵及手部尺侧的环指、小指和相应的掌腱膜为主，此区为尺神经支配区。有人认为局部神经遭受某种刺激因素，如颈椎肥大骨刺等，使该支配区域产生一系列病理改变。"
高血压,2.5,http://www.juzisw.com/u/jay/415.html,"高血压 (hypertension)高血压，是以体循环动脉血压增高为主要表现的临床综合征，绝大多数患者病因不明。称为原发性高血压，占高血压患者的95%以上。有研究表明，高血压患者较血压正常者更易合并其他的心脑血管疾病。它能引起动脉粥样硬化，并影响重要脏器如心、脑、肾的功能。最终导致这些器官的功能衰竭。患病率每十万人发病率：11880/10万据卫生部公布的数据：我国平均发病率为11.88％，患病人数超过1.6亿。在欧美一些国家发病率高达20%以上。在地区分布上，华北、东北及东部沿海地区患病率高于南方和西部内陆地区，这可能与地理、气候、种族、环境、饮食习惯、社会文化和心理状态等因素有关。致病原因大多数流行病学研究认为，血压的变化与年龄的变化呈正相关，无论男性或女性。高血压的患病率均随着年龄的增长而上升。超重和肥胖是高血压的主要危险因素之一。2002年对我国24万人群的汇总分析显示，体重指数( BMI≥24者的高血压患病率是BMI<24者的2.5倍，BMI≥28 者的高血压患病率是BMI=24者的3.3倍。男性腰围达到或超过85cm，女性腰围达到或超过80cm，其高血压患病率是腰围正常者的 2.3 倍。调查发现男性、女性人群血压水平、高血压患病率均与 BMI 和腰围相关联。随着 BMI 和腰围的增加，血压均值呈明显的增加趋势， 高血压的患病率也明显增加。基线体重指数每增加3时，4年内发生高血压的危险性女性增加57%，男性增加 50%。长期大量饮酒是高血压的重要危险因素之一。研究表明, 男性持续饮酒者比不饮酒者4年内发生高血压的危险性增高40%。我国10组人群前瞻性研究显示饮酒量与高血压发病率呈显著正相关, 饮白酒每日增加l00g，高血压发病的相对危险性增高 19%~26%。微量元素对高血压及有关心血管病有重要影响。我国人群食盐摄入量高于西方国家，北方人群食盐摄入量每人每天约12~18g，南方为7~8g，人群平均每人每天摄入食盐增加2g，则收缩压和舒张压分别升高 2.0mmHg 及 1.2mmHg。众多研究资料表明， 过多摄入钠盐会使血压升高。一个多国合作研究表明， 如果人一天食盐摄入量维持在6g水平，则在 25~55 岁期间收缩压可降低 9mmHg，长期低于 6g，55 岁以后冠心病死亡率可减少16%，脑卒中减少23%，总死亡率减少13%。而钾盐的摄入量则 与钠盐相反，保持足量的钾盐摄入可使血压降低，心血管疾病的发病率和死亡率下降。在控制了总热量之后，膳食钠盐与收缩压及舒张压的相关系数分别达到0.63及 0.58。流行病学资料显示，高血压常伴有与代谢有关的许多危险因子，包括糖耐量异常、血脂紊乱等，它们与高血压之间呈相关性。因为血压、血脂、葡萄糖和胰岛素水平在向心性肥胖的患者中最高，即使在早期高血压阶段，已开始出现血脂异常，并通过胰岛素抵抗和高胰岛素血症相互联系。高血压有一定的遗传基础，具有明显的家族聚集性，与直系亲属明显相关。家族史为高血压的危险因子，一些地区的流行病学资料显示，高血压患者并存的心血管病 危险因素如高胆固醇 、早发心血管病家族史所占的百分率明显高于非高血压患者。"
甲状腺机能减退症,2.6,http://www.juzisw.com/u/jay/416.html,甲状腺机能减退症 (Hypothyroidism)甲状腺功能减退症，是由各种原因导致的低甲状腺激素血症或甲状腺激素抵抗而引起的全身性低代谢综合征，其病理特征是黏多糖在组织和皮肤堆积，表现为黏液性水肿。1.根据病变发生的部位分类：1.1原发性甲状腺功能减退症：由于甲状腺腺体本身病变引起的甲减，占全部甲减的95％以上，且90％以上原发性甲减是由自身免疫、甲状腺手术和甲亢131I治疗所致。1.2中枢性甲状腺功能减退症：由下丘脑和垂体病变引起的促甲状腺激素释放激素或者促甲状腺激素产生和分泌减少所致的甲减，垂体外照射、垂体大腺瘤、颅咽管瘤及产后大出血是其较常见的原因；其中由于下丘脑病变引起的甲减称为三发性甲减。1.3甲状腺激素抵抗综合征：由于甲状腺激素在外周组织实现生物效应障碍引起的综合征。2.根据病变的原因分类：药物性甲减、手术后甲减、131I治疗后甲减、特发性甲减、垂体或下丘脑肿瘤手术后甲减等。3.根据甲状腺功能减低的程度分类：临床甲减和亚临床甲减。患病率甲状腺机能减退症是内分泌疾病中比较常见的疾病，可以发生在各个年龄，从刚出生的新生儿至老年人都可发生甲减，以老年为多见。非缺碘地区甲减患病率0.3%～1.0%，60岁以上可达2%，新生儿甲减患病率1∶7000～1∶3000。甲状腺机能减退症在男女都可发病，但女性多见，男∶女为1∶4～1∶5，临床甲减的患病率男性为0.1%，女性为1.9%。亚临床甲减患病率增高，男性为2.7%，女性为7.1%。在英国一个关于甲状腺机能减退症的大规模长期流行病调查发现，自发性甲减每年的发病率女性为3.5∶1000，男性0.8∶1000。甲状腺抗体阳性和TSH升高的女性，甲减发生率明显增加到43∶1000。致病原因1.自身免疫损伤：最常见的原因是自身免疫性甲状腺炎，包括桥本甲状腺炎、萎缩性甲状腺炎、产后甲状腺炎等（见本篇第十一章）。2.甲状腺破坏：包括手术、131I治疗。甲状腺次全切除、131I治疗Graves病，10年的甲减累积发生率分别为40％、40％～70％。3.碘过量：碘过量可引起具有潜在性甲状腺疾病者发生甲减，也可诱发和加重自身免疫性甲状腺炎。含碘药物胺碘酮诱发甲减的发生率是5％～22％。4.抗甲状腺药物：如锂盐、硫脲类、咪唑类等。
偏头痛,2.7,http://www.juzisw.com/u/jay/417.html,偏头痛 (Migraines)偏头痛是临床最常见的原发性头痛类型，临床以发作性中重度、搏动样头痛为主要表现，头痛多为偏侧，一般持续4～72小时，可伴有恶心、呕吐，光、声刺激或日常活动均可加重头痛，安静环境、休息可缓解头痛。偏头痛是一种常见的慢性神经血管性疾患，多起病于儿童和青春期，中青年期达发病高峰。患病率每十万人发病率：9300/10万据流行病学调查显示，近年世界偏头痛的发病率8.4%~28%，日本偏头痛的发病率8.4%~12%，我国偏头痛总体发病率9.3%。患病年龄，国外以25~45岁多见，中国以20~45岁多见。男女患者的比例国外为1：2~3，中国为1：4。致病原因约60%的偏头痛病人有家族史，其亲属出现偏头痛的风险是一般人群的3～6倍，家族性偏头痛患者尚未发现一致的孟德尔遗传规律，反映了不同外显率及多基因遗传特征与环境因素的相互作用。家族性偏瘫型偏头痛是明确的有高度异常外显率的常染色体显性遗传，已定位在19p13（与脑部表达的电压门P/Q钙通道基因错译突变有关）、1q21和1q31等三个疾病基因位点。本病女性多于男性，多在青春期发病，月经期容易发作，妊娠期或绝经后发作减少或停止。这提示内分泌和代谢因素参与偏头痛的发病。此外，5-羟色胺（5-HT）、去甲肾上腺素、P物质和花生四烯酸等代谢异常也可影响偏头痛发生。偏头痛发作可由某些食物和药物诱发，食物包括含酪胺的奶酪、含亚硝酸盐防腐剂的肉类和腌制食品、含苯乙胺的巧克力、食品添加剂如谷氨酸钠（味精），红酒及葡萄酒等。药物包括口服避孕药和血管扩张剂如硝酸甘油等。另外一些环境和精神因素如紧张、过劳、情绪激动、睡眠过度或过少、月经、强光也可诱发。
进行性核上麻痹,2.8,http://www.juzisw.com/u/jay/418.html,"进行性核上麻痹 (PSP )进行性核上麻痹为在中老年时起病的一种神经系统变性疾病。本病常累及锥体系、锥体外系、小脑、脑干等部位,在此广泛病变的基础上,再加上以眼肌活动障碍为特征,故属于帕金森叠加综合征的范畴。本病的眼肌活动障碍主要表现为眼球垂直活动受限,即上下不能活动,有时随疾病发展可影响到其他方向的活动。其锥体外系病变表现主要是近中线的肌群强直,尤以颈强直较为显著,震颤相对轻些。在上述症状的基础上,还可出现共济失调、眼球震颤、痉挛步态、言语不清、吞咽困难、假性球麻痹、四肢腱反射亢进、伸跖反射阳性等。多发生于51～60岁男性，隐袭起病，逐渐加重，于发病后2～3年内出现下列症状。1.1 精神症状：逐渐出现性格改变，记忆力减退，智能衰退，很少至严重痴呆。1.2 核上性眼球运动障碍：主要表现为对称性眼球垂直运动障碍。最早为向下注视障碍，继则发生上视运动困难，最后不能水平运动，眼球同定于正中位，瞳孔多缩小，对光反射存在。辐辏反射障碍，呈玩偶眼现象。1.3 锥体外系症状：颈部肌张力障碍为本病重要症状。出现颈部过伸、仰脸、下颏突出的特殊姿势。头颈部和躯干肌肉明显强硬，四肢较轻，面部表情刻板，皱纹加深,步态不稳，平衡障碍，转身时容易向后方倒倾，但指鼻试验、跟膝胫试验多正常，一般不出现震颤。1.4 假性球麻痹：表现为构音障碍，吞咽困难，下颌反射增强，腱反射增强，可出现病理反射。可有各种非恒定的小脑和锥体束症状和体征。血液、脑脊液和脑电图等检查无异常。气脑造影和CT可见脑室轻度扩大。患病率进行性核上麻痹发病率约为6.5/10万，平均发病年龄63岁，平均生存期5~9年。致病原因进行性核上麻痹的病因尚不完全明确，目前认为其属于一种tau蛋白病121。tau蛋白是一种促使微管装配的微管相关蛋白，主要分布在神经元轴突中。tau蛋白由位于17q2l染色体上的tau基因编码，包括16个外显子。由于tau基因2、3、10外显子转录后mRNA选择性剪切。成人脑内存在6种tau蛋白的异构体，每个tau蛋白的异构体都有靠近C一端的3或4个与微管结合的重复序列，其中具有4个重复序列的tan蛋白比只有3个重复序列的tau蛋白f3Rtaul与微管结合能力更强。近年遗传学研究发现，散发性进行性核上麻痹的主要危险因素在于au基因突变，可导致4Rtau蛋白异构体的过度表达。正常成年人脑中4R tau蛋白与3Rtau蛋白的比率相当，而在进行性核上麻痹患者中这一比率至少达3:1，4Rtau蛋白明显占优。在病理状态下,tau蛋白发生过度磷酸化等异常修饰,易从微管上解离下来并发生病理性聚集，从而导致神经元纤维缠结形成；同时tau蛋白丧失其促微管组装的生物学功能，导致微管解聚。轴突运输损害，进而导致脑部不同区域神经元纤维退行性变性。此外，进行性核上麻痹的发病可能还与线粒体功能紊乱、氧化损伤等因素有关。"
